NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,geometry,distance_to_river
kota bekasi,mustikajaya,17.607,49.326,33.37,32.768,Built-up,0.452,0.179,31.85,2024,7,0,-6.3076,107.0166,POINT (723092.9459239478 9302360.994251292),4593.738239883044
jakarta timur,ciracas,12.809,32.823,36.06,53.48,Built-up,0.372,0.263,40.046,2024,5,0,-6.3339,106.8784,POINT (707788.0364956328 9299509.302393299),10877.117567142148
depok,cilodong,16.351,48.005,34.14,106.017,Built-up,0.418,0.295,38.068,2023,7,0,-6.4303,106.8379,POINT (703268.3825380037 9288863.5387525),20374.375232838367
jakarta timur,kramatjati,20.078,68.415,39.1,30.295,Built-up,0.296,0.152,38.699,2021,9,0,-6.2763,106.8654,POINT (706372.2660835763 9305885.107926365),11949.418069149126
jakarta pusat,senen,9.993,17.765,36.68,10.007,Built-up,0.227,0.092,35.597,2021,7,0,-6.1842,106.8459,POINT (704249.8384030734 9316078.969037332),17714.606411145458
depok,cipayung,43.916,89.814,36.55,106.638,Built-up,0.473,0.3,40.53,2021,4,0,-6.4297,106.8028,POINT (699385.3505370402 9288943.719501592),23316.996948223412
jakarta timur,jatinegara,48.782,89.114,41.96,18.159,Built-up,0.217,0.126,37.368,2022,1,0,-6.2273,106.8774,POINT (707719.6564290033 9311299.840610106),12207.747681903671
jakarta timur,cakung,25.515,39.644,40.59,7.969,Built-up,0.22,0.102,38.017,2021,3,0,-6.1885,106.9409,POINT (714763.7618073723 9315565.917541238),8394.30821638322
bogor,ciseeng,37.761,47.355,32.26,99.044,Tree cover,0.645,0.396,41.182,2021,3,0,-6.4556,106.6785,POINT (685624.6468194757 9286126.220945511),33082.73298210639
bogor,jasinga,20.636,43.989,28.3,163.412,Tree cover,0.783,1.993,35.951,2020,6,0,-6.4806,106.4559,POINT (660993.8886124229 9283437.48564894),39512.99277670693
bogor,tamansari,67.523,102.704,29.39,715.585,Tree cover,0.622,6.987,37.605,2022,3,0,-6.6564,106.7458,POINT (692992.262812293 9263893.753955958),46307.84986100699
bogor,tajurhalang,26.867,84.906,32.05,128.261,Tree cover,0.571,0.34,35.713,2024,8,0,-6.469,106.7596,POINT (694591.0433916766 9284613.970919622),29751.598382470256
