NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
bogor,cigombong,34.322,81.131,29.12,688.475,Tree cover,0.691,4.624,37.205,2023,12,0,-6.7461,106.8128
bekasi,pebayuran,58.206,91.085,32.38,7.055,Cropland,0.568,0.061,38.82,2021,11,0,-6.1593,107.2485
kota tangerang,neglasari,13.815,32.862,33.52,11.542,Built-up,0.339,0.072,36.845,2024,5,0,-6.1429,106.6302
bogor,caringin,20.999,34.312,26.56,765.651,Tree cover,0.745,4.954,37.072,2024,5,0,-6.7366,106.866
bogor,klapanunggal,44.826,79.533,29.9,203.856,Tree cover,0.524,3.061,39.981,2022,2,0,-6.483,106.9553
depok,beji,63.513,126.685,37.09,78.676,Built-up,0.282,0.279,41.09,2023,2,0,-6.3731,106.819
bogor,gunungsindur,64.373,108.875,29.44,72.997,Tree cover,0.418,0.372,40.893,2020,1,0,-6.3871,106.6872
jakarta pusat,gambir,7.977,35.153,38.05,7.605,Built-up,0.258,0.061,34.128,2020,8,0,-6.1715,106.8181
depok,bojongsari,94.875,161.501,37.67,87.016,Built-up,0.462,0.265,41.626,2021,11,0,-6.3943,106.7378
bekasi,setu,38.285,61.676,32.93,51.932,Tree cover,0.622,0.202,37.845,2022,4,0,-6.3637,107.0373
jakarta timur,matraman,19.025,27.872,39.43,12.702,Built-up,0.187,0.132,37.159,2020,10,0,-6.2036,106.8645
kota bogor,bogorbarat,57.467,85.013,37.59,207.937,Built-up,0.48,0.658,37.629,2022,3,0,-6.5732,106.7655
bekasi,setu,36.13,78.753,33.31,51.932,Tree cover,0.435,0.202,37.876,2023,1,0,-6.3637,107.0373
jakarta barat,tambora,20.501,57.25,40.23,5.895,Built-up,0.136,0.048,36.758,2022,9,0,-6.1475,106.8035
bekasi,kedungwaringin,68.356,100.589,34.93,10.722,Cropland,0.332,0.076,38.839,2022,11,0,-6.2516,107.2483
bekasi,pebayuran,27.344,49.864,29.88,7.055,Cropland,0.529,0.061,38.025,2022,3,0,-6.1593,107.2485
jakarta barat,tambora,2.321,8.052,40.07,5.895,Built-up,0.151,0.048,33.061,2023,10,0,-6.1475,106.8035
tangerang,kronjo,36.316,54.358,30.09,4.048,Cropland,0.629,0.069,38.992,2020,3,0,-6.0703,106.4282
depok,tapos,76.735,122.938,35.42,98.048,Built-up,0.32,0.278,41.613,2021,2,0,-6.4192,106.8805
kota tangerang,karangtengah,14.132,30.059,35.82,13.076,Built-up,0.36,0.156,35.281,2021,8,0,-6.2101,106.7097
kota bogor,bogortimur,76.187,115.009,34.17,322.856,Built-up,0.544,1.429,37.188,2021,5,0,-6.6207,106.8264
bekasi,pebayuran,28.536,75.689,32.31,7.055,Cropland,0.643,0.061,31.877,2021,10,0,-6.1593,107.2485
kota bekasi,pondokmelati,31.236,105.098,39.3,38.409,Built-up,0.331,0.242,39.61,2022,9,0,-6.3095,106.9282
bekasi,kedungwaringin,44.671,82.087,37.23,10.722,Cropland,0.297,0.076,38.239,2022,10,0,-6.2516,107.2483
jakarta barat,palmerah,18.094,42.774,36.33,10.559,Built-up,0.255,0.122,36.819,2021,6,0,-6.1917,106.7956
kota bekasi,pondokmelati,28.504,61.721,39.39,38.409,Built-up,0.394,0.242,36.146,2020,9,0,-6.3095,106.9282
kota tangerang,benda,50.02,95.513,37.6,8.372,Built-up,0.34,0.098,37.141,2022,1,0,-6.13,106.6657
tangerang,kronjo,25.792,40.271,30.68,4.048,Cropland,0.441,0.069,36.589,2021,5,0,-6.0703,106.4282
kota bekasi,pondokgede,1.375,1.735,40.09,24.987,Built-up,0.284,0.142,30.252,2023,9,0,-6.2691,106.9299
bekasi,karangbahagia,7.732,21.17,32.41,10.334,Cropland,0.494,0.08,34.366,2024,5,0,-6.2172,107.197
depok,sawangan,85.29,163.397,35.23,91.287,Tree cover,0.528,0.296,41.658,2024,4,0,-6.4067,106.7641
kota tangerang,karangtengah,17.685,47.656,36.74,13.076,Built-up,0.33,0.156,36.637,2023,5,0,-6.2101,106.7097
tangerang,panongan,27.145,39.22,31.68,36.953,Tree cover,0.583,0.192,40.666,2022,6,0,-6.2789,106.5262
bogor,tajurhalang,58.354,109.926,33.77,128.261,Tree cover,0.616,0.34,41.097,2020,5,0,-6.469,106.7596
bekasi,cibitung,19.777,39.656,33.85,14.027,Cropland,0.456,0.106,36.59,2022,6,0,-6.2357,107.1004
jakarta selatan,pancoran,10.989,48.003,37.57,25.372,Built-up,0.3,0.19,34.972,2020,8,0,-6.2553,106.8436
bekasi,pebayuran,14.374,31.318,32.0,7.055,Cropland,0.355,0.061,32.62,2020,7,0,-6.1593,107.2485
bogor,tamansari,45.065,67.787,31.5,715.585,Tree cover,0.511,6.987,37.566,2022,1,0,-6.6564,106.7458
bogor,cigudeg,67.352,120.165,27.27,309.2,Tree cover,0.546,3.666,39.247,2024,12,0,-6.4937,106.5461
kota tangerang,batuceper,40.53,64.804,38.6,10.341,Built-up,0.291,0.068,38.411,2024,2,0,-6.1618,106.6703
tangerang,sukadiri,18.706,36.957,32.02,4.864,Cropland,0.415,0.063,35.281,2021,8,0,-6.0699,106.559
kota bogor,bogorselatan,59.452,112.115,32.51,368.391,Tree cover,0.348,1.807,38.355,2021,1,0,-6.6447,106.8135
bogor,tanjungsari,53.705,99.876,29.48,362.528,Tree cover,0.612,5.549,39.275,2021,12,0,-6.6115,107.1406
kota tangerang,jatiuwung,39.899,67.801,40.24,20.101,Built-up,0.272,0.172,37.929,2020,4,0,-6.198,106.5753
jakarta utara,koja,7.88,13.886,36.38,3.739,Built-up,0.235,0.063,36.038,2020,6,0,-6.1215,106.905
bogor,cijeruk,83.4,147.199,28.03,717.352,Tree cover,0.725,7.732,38.469,2020,5,0,-6.686,106.7843
depok,cipayung,30.974,87.68,35.14,106.638,Built-up,0.466,0.3,39.909,2023,5,0,-6.4297,106.8028
jakarta selatan,setiabudi,32.818,55.155,39.14,17.99,Built-up,0.281,0.133,37.91,2020,4,0,-6.2196,106.83
bogor,leuwiliang,24.182,69.77,26.11,556.464,Tree cover,0.782,3.837,34.501,2024,7,0,-6.6402,106.6099
bekasi,tarumajaya,16.576,47.216,32.1,2.309,Cropland,0.436,0.051,35.495,2022,7,0,-6.1219,106.9975
tangerang,panongan,21.613,74.835,31.82,36.953,Tree cover,0.577,0.192,38.05,2023,6,0,-6.2789,106.5262
kota bogor,bogortimur,17.125,21.83,33.62,322.856,Built-up,0.461,1.429,29.053,2023,8,0,-6.6207,106.8264
bogor,sukaraja,93.161,168.014,34.85,276.337,Tree cover,0.479,1.706,38.22,2022,10,0,-6.5792,106.8408
tangerang,sindangjaya,37.942,59.379,33.22,17.038,Tree cover,0.605,0.132,38.821,2020,3,0,-6.1689,106.4989
bogor,klapanunggal,51.049,74.35,32.95,203.856,Tree cover,0.69,3.061,40.92,2020,3,0,-6.483,106.9553
bekasi,cikarangutara,28.285,41.133,36.06,17.902,Built-up,0.311,0.13,38.663,2021,3,0,-6.2754,107.1556
depok,cimanggis,36.673,81.795,38.33,74.634,Built-up,0.42,0.278,40.708,2023,4,0,-6.3677,106.8694
tangerang,jambe,49.494,83.709,31.88,43.823,Tree cover,0.601,0.302,39.303,2020,5,0,-6.3238,106.4992
kota tangerang,larangan,9.593,19.777,36.62,21.351,Built-up,0.244,0.155,33.944,2024,8,0,-6.2392,106.733
tangerang,mauk,22.145,59.127,29.64,3.228,Cropland,0.413,0.07,35.935,2024,6,0,-6.058,106.5207
bogor,tajurhalang,79.127,186.834,34.14,128.261,Tree cover,0.627,0.34,38.685,2021,9,0,-6.469,106.7596
jakarta timur,durensawit,30.907,41.067,36.9,16.888,Built-up,0.292,0.139,37.881,2022,5,0,-6.2325,106.9206
tangerang,jayanti,39.575,71.445,32.31,18.626,Tree cover,0.478,0.144,38.126,2020,5,0,-6.2068,106.3983
tangerang,rajeg,1.984,2.517,35.22,8.659,Cropland,0.382,0.105,24.763,2023,9,0,-6.1163,106.5103
jakarta timur,matraman,9.553,24.461,40.32,12.702,Built-up,0.22,0.132,37.2,2023,12,0,-6.2036,106.8645
bogor,cijeruk,134.588,318.932,28.52,717.352,Tree cover,0.588,7.732,36.598,2022,9,0,-6.686,106.7843
depok,limo,81.533,127.955,39.0,73.923,Built-up,0.376,0.284,41.19,2022,11,0,-6.3686,106.7808
bogor,gunungsindur,22.771,50.585,32.12,72.997,Tree cover,0.636,0.372,36.044,2020,7,0,-6.3871,106.6872
tangerang,sukadiri,31.673,69.054,32.53,4.864,Cropland,0.346,0.063,38.218,2022,12,0,-6.0699,106.559
tangerang,kosambi,55.124,121.537,31.43,3.034,Built-up,0.139,0.058,38.16,2024,1,0,-6.0809,106.685
kota tangerang,jatiuwung,36.118,63.467,39.79,20.101,Built-up,0.281,0.172,37.059,2022,3,0,-6.198,106.5753
bekasi,cibitung,14.865,29.903,34.63,14.027,Cropland,0.453,0.106,34.299,2021,7,0,-6.2357,107.1004
depok,limo,83.295,136.779,37.67,73.923,Built-up,0.452,0.284,41.387,2021,11,0,-6.3686,106.7808
jakarta barat,cengkareng,40.14,54.309,37.18,5.286,Built-up,0.262,0.059,38.718,2024,4,0,-6.1515,106.7369
bekasi,tambelang,34.554,71.396,28.36,5.555,Cropland,0.362,0.072,38.213,2020,12,0,-6.167,107.1273
bogor,jonggol,18.733,43.223,30.86,186.743,Tree cover,0.69,2.153,34.465,2021,7,0,-6.4961,107.0456
jakarta selatan,kebayoranbaru,9.919,24.594,38.6,22.272,Built-up,0.298,0.16,37.634,2024,10,0,-6.2447,106.8014
bogor,sukamakmur,51.069,85.797,29.8,641.209,Tree cover,0.515,5.807,38.286,2022,2,0,-6.5936,107.0201
tangerang,kelapadua,29.647,58.907,38.3,27.206,Built-up,0.439,0.146,38.201,2023,4,0,-6.2426,106.6094
jakarta timur,cakung,35.165,58.466,39.58,7.969,Built-up,0.265,0.102,37.853,2022,10,0,-6.1885,106.9409
bekasi,cikarangselatan,18.966,61.36,33.63,41.443,Built-up,0.473,0.306,32.405,2023,6,0,-6.3385,107.1279
jakarta barat,palmerah,16.784,26.28,39.55,10.559,Built-up,0.197,0.122,38.514,2024,11,0,-6.1917,106.7956
