NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
bogor,citeureup,63.408,118.419,29.78,229.087,Tree cover,0.563,2.772,39.829,2020,1,0,-6.525,106.8924
tangerang,mauk,46.491,81.171,30.26,3.228,Cropland,0.464,0.07,38.84,2024,4,0,-6.058,106.5207
kota tangerang,cibodas,19.895,47.439,36.33,19.751,Built-up,0.309,0.128,36.677,2021,6,0,-6.2058,106.608
tangerang,gunungkaler,37.873,59.174,31.96,8.194,Cropland,0.504,0.068,37.684,2022,10,0,-6.0957,106.3742
jakarta timur,makasar,6.696,22.824,35.14,25.658,Built-up,0.427,0.16,37.467,2023,7,0,-6.2663,106.8911
bogor,citeureup,56.411,82.766,34.15,229.087,Tree cover,0.645,2.772,39.874,2020,3,0,-6.525,106.8924
depok,sukmajaya,42.31,67.707,38.71,88.001,Built-up,0.394,0.34,40.559,2022,3,0,-6.3973,106.8436
kota tangerang,neglasari,42.302,71.687,33.97,11.542,Built-up,0.426,0.072,38.154,2024,3,0,-6.1429,106.6302
depok,limo,21.584,61.881,32.82,73.923,Built-up,0.449,0.284,37.636,2024,7,0,-6.3686,106.7808
jakarta selatan,pesanggrahan,24.93,55.988,38.3,23.82,Built-up,0.323,0.178,38.908,2020,11,0,-6.2504,106.7587
bekasi,cibarusah,56.869,103.724,29.5,52.034,Cropland,0.539,0.394,37.51,2024,12,0,-6.434,107.1108
jakarta utara,penjaringan,11.22,26.437,34.47,3.083,Built-up,0.285,0.074,35.029,2020,7,0,-6.115,106.7639
bogor,dramaga,22.464,63.552,30.67,248.285,Tree cover,0.626,1.71,34.941,2023,7,0,-6.5888,106.7298
jakarta selatan,cilandak,29.279,58.047,38.73,37.329,Built-up,0.382,0.193,36.146,2020,9,0,-6.2927,106.7933
kota bekasi,jatiasih,29.663,99.106,39.04,39.466,Built-up,0.344,0.259,39.61,2022,9,0,-6.3072,106.9524
bogor,caringin,114.804,211.947,28.6,765.651,Tree cover,0.562,4.954,37.697,2023,11,0,-6.7366,106.866
bekasi,karangbahagia,34.17,48.009,32.95,10.334,Cropland,0.536,0.08,38.019,2024,4,0,-6.2172,107.197
bogor,parungpanjang,46.322,74.252,32.5,65.388,Tree cover,0.696,0.569,41.939,2020,3,0,-6.3768,106.5551
bogor,sukajaya,99.031,182.665,25.44,847.126,Tree cover,0.676,5.604,38.099,2020,11,0,-6.6313,106.4705
kota bekasi,rawalumbu,44.458,73.79,37.97,27.96,Built-up,0.189,0.131,39.514,2024,12,0,-6.2812,106.9942
tangerang,mauk,22.013,59.391,30.83,3.228,Cropland,0.511,0.07,35.292,2022,7,0,-6.058,106.5207
jakarta pusat,menteng,16.482,47.271,34.72,10.741,Built-up,0.334,0.099,36.736,2023,5,0,-6.1958,106.8353
bogor,tenjolaya,28.542,57.826,27.78,736.012,Tree cover,0.754,6.928,35.582,2021,7,0,-6.6537,106.708
bekasi,cikarangutara,16.574,33.887,36.38,17.902,Built-up,0.378,0.13,31.882,2020,7,0,-6.2754,107.1556
jakarta timur,cakung,17.935,42.348,39.52,7.969,Built-up,0.307,0.102,37.438,2023,4,0,-6.1885,106.9409
bekasi,sukakarya,33.722,55.82,31.94,5.911,Cropland,0.551,0.05,37.659,2022,10,0,-6.1449,107.1856
kota tangerang,cibodas,58.434,109.283,42.15,19.751,Built-up,0.25,0.128,38.259,2021,11,0,-6.2058,106.608
bogor,rumpin,116.607,197.951,32.51,152.23,Tree cover,0.649,1.981,40.673,2022,11,0,-6.4596,106.6311
tangerang,mauk,54.284,95.979,27.18,3.228,Cropland,0.212,0.07,37.618,2024,12,0,-6.058,106.5207
jakarta utara,penjaringan,41.093,56.501,35.53,3.083,Built-up,0.215,0.074,38.481,2024,11,0,-6.115,106.7639
depok,beji,16.552,77.027,37.49,78.676,Built-up,0.41,0.279,35.429,2020,8,0,-6.3731,106.819
depok,bojongsari,72.206,121.021,36.66,87.016,Built-up,0.44,0.265,40.927,2022,10,0,-6.3943,106.7378
tangerang,panongan,29.19,90.601,32.46,36.953,Tree cover,0.576,0.192,39.337,2023,5,0,-6.2789,106.5262
tangerang,rajeg,24.115,64.797,30.79,8.659,Cropland,0.532,0.105,35.841,2024,6,0,-6.1163,106.5103
tangerang,sukadiri,33.349,87.361,32.73,4.864,Cropland,0.363,0.063,37.087,2023,1,0,-6.0699,106.559
tangerang,teluknaga,18.589,30.477,33.09,3.313,Permanent water bodies,0.351,0.071,37.68,2022,10,0,-6.0499,106.6582
jakarta barat,tamansari,17.361,32.672,38.52,6.894,Tree cover,0.141,0.061,36.954,2021,5,0,-6.1481,106.8184
jakarta selatan,pancoran,10.311,19.214,37.07,25.372,Built-up,0.311,0.19,37.651,2021,7,0,-6.2553,106.8436
bekasi,cabangbungin,12.14,20.498,32.77,3.757,Cropland,0.441,0.053,34.359,2021,7,0,-6.0781,107.1363
jakarta timur,jatinegara,2.934,8.195,41.0,18.159,Built-up,0.221,0.126,33.061,2023,10,0,-6.2273,106.8774
tangerang,sepatan,28.42,63.726,38.47,8.849,Built-up,0.332,0.052,37.598,2020,11,0,-6.1183,106.5801
kota bekasi,pondokmelati,34.985,58.379,41.76,38.409,Built-up,0.409,0.242,40.559,2022,3,0,-6.3095,106.9282
jakarta selatan,pancoran,40.849,83.931,38.54,25.372,Built-up,0.235,0.19,39.542,2023,11,0,-6.2553,106.8436
kota tangerang,neglasari,21.457,60.617,36.31,11.542,Built-up,0.375,0.072,36.156,2021,9,0,-6.1429,106.6302
jakarta timur,jatinegara,9.078,26.121,35.94,18.159,Built-up,0.273,0.126,36.884,2024,5,0,-6.2273,106.8774
kota bekasi,pondokgede,15.744,43.835,37.61,24.987,Built-up,0.314,0.142,35.845,2024,9,0,-6.2691,106.9299
jakarta pusat,cempakaputih,62.067,125.789,40.09,8.401,Built-up,0.166,0.095,38.225,2024,1,0,-6.1809,106.8681
bekasi,cibitung,8.204,22.026,34.03,14.027,Cropland,0.451,0.106,34.313,2024,5,0,-6.2357,107.1004
kota bogor,bogortimur,70.782,115.755,34.57,322.856,Built-up,0.206,1.429,38.585,2023,2,0,-6.6207,106.8264
tangerang,kronjo,18.6,24.64,30.58,4.048,Cropland,0.503,0.069,37.732,2022,6,0,-6.0703,106.4282
depok,cinere,49.128,84.814,33.37,54.274,Built-up,0.429,0.287,40.999,2020,4,0,-6.3315,106.7894
tangerang selatan,ciputat,46.697,80.589,34.95,44.431,Built-up,0.412,0.212,41.237,2020,4,0,-6.3082,106.7277
bekasi,cikarangselatan,36.556,69.477,37.64,41.443,Built-up,0.338,0.306,39.054,2021,12,0,-6.3385,107.1279
bogor,klapanunggal,28.731,65.036,31.49,203.856,Tree cover,0.643,3.061,37.316,2022,8,0,-6.483,106.9553
kota bogor,bogortimur,55.409,125.878,35.14,322.856,Built-up,0.518,1.429,37.578,2021,4,0,-6.6207,106.8264
bogor,kemang,66.984,128.263,32.2,143.048,Tree cover,0.654,0.625,40.063,2020,5,0,-6.5025,106.7345
jakarta timur,matraman,60.317,126.999,35.73,12.702,Built-up,0.122,0.132,38.069,2023,2,0,-6.2036,106.8645
kota bekasi,mustikajaya,13.262,57.64,36.79,32.768,Built-up,0.438,0.179,26.656,2020,8,0,-6.3076,107.0166
bogor,tajurhalang,54.086,89.286,36.13,128.261,Tree cover,0.448,0.34,40.384,2020,12,0,-6.469,106.7596
bogor,cariu,50.108,96.37,30.66,143.845,Tree cover,0.666,2.107,38.242,2024,3,0,-6.5273,107.1371
jakarta barat,kembangan,20.047,48.221,37.81,10.349,Built-up,0.367,0.126,37.324,2021,4,0,-6.1982,106.7418
bogor,sukamakmur,94.762,169.226,28.89,641.209,Tree cover,0.638,5.807,34.854,2023,11,0,-6.5936,107.0201
bogor,cigombong,81.925,141.483,29.97,688.475,Tree cover,0.563,4.624,38.104,2020,11,0,-6.7461,106.8128
bogor,ciomas,119.206,215.607,34.39,268.719,Built-up,0.44,1.946,37.676,2023,11,0,-6.6095,106.762
tangerang selatan,ciputat,67.534,118.987,36.52,44.431,Built-up,0.412,0.212,42.136,2024,4,0,-6.3082,106.7277
depok,beji,39.901,84.575,38.68,78.676,Built-up,0.427,0.279,40.708,2023,4,0,-6.3731,106.819
tangerang,sukadiri,49.136,99.39,35.75,4.864,Cropland,0.506,0.063,38.259,2021,11,0,-6.0699,106.559
bekasi,babelan,19.307,39.55,33.2,3.768,Cropland,0.539,0.07,37.305,2022,4,0,-6.1257,107.0341
bogor,tanjungsari,30.651,104.656,27.4,362.528,Tree cover,0.794,5.549,36.058,2023,5,0,-6.6115,107.1406
kota bogor,bogorutara,118.013,315.565,36.74,209.387,Built-up,0.442,0.831,36.596,2022,9,0,-6.5708,106.8196
kota tangerang,karawaci,12.755,34.791,35.27,16.788,Built-up,0.347,0.102,34.958,2023,7,0,-6.1812,106.618
jakarta timur,makasar,39.424,84.251,38.4,25.658,Built-up,0.461,0.16,40.32,2020,5,0,-6.2663,106.8911
jakarta barat,kalideres,18.843,52.694,38.64,5.258,Built-up,0.304,0.071,37.33,2021,4,0,-6.1346,106.7039
bekasi,tambelang,15.794,34.972,31.28,5.555,Cropland,0.587,0.072,37.119,2023,4,0,-6.167,107.1273
jakarta barat,kalideres,26.792,46.462,38.62,5.258,Built-up,0.278,0.071,37.059,2022,3,0,-6.1346,106.7039
kota bekasi,bantargebang,23.791,66.148,36.58,46.555,Built-up,0.442,0.262,32.268,2024,9,0,-6.3385,106.9912
kota bekasi,jatiasih,38.364,83.594,37.12,39.466,Built-up,0.477,0.259,41.007,2020,5,0,-6.3072,106.9524
bekasi,cikarangbarat,80.262,102.623,35.95,29.644,Built-up,0.337,0.174,34.987,2024,11,0,-6.2973,107.0941
tangerang,pasarkemis,18.013,50.062,32.92,14.061,Built-up,0.4,0.127,34.437,2024,7,0,-6.1589,106.5525
depok,cimanggis,41.069,80.069,36.75,74.634,Built-up,0.409,0.278,41.151,2024,3,0,-6.3677,106.8694
tangerang,sepatan,18.077,36.957,33.2,8.849,Built-up,0.397,0.052,35.281,2021,8,0,-6.1183,106.5801
kota tangerang,tangerang,53.681,90.455,39.23,17.193,Built-up,0.162,0.112,37.717,2021,1,0,-6.1888,106.6406
bogor,citeureup,50.051,76.462,32.03,229.087,Tree cover,0.645,2.772,37.941,2021,5,0,-6.525,106.8924
jakarta pusat,joharbaru,36.093,70.906,39.67,8.969,Built-up,0.179,0.076,37.844,2023,3,0,-6.1821,106.8546
jakarta pusat,joharbaru,13.716,32.819,40.36,8.969,Built-up,0.17,0.076,38.252,2023,11,0,-6.1821,106.8546
jakarta selatan,tebet,21.59,67.578,41.21,17.948,Built-up,0.179,0.137,36.758,2022,9,0,-6.2289,106.8509
jakarta timur,ciracas,45.375,69.205,35.73,53.48,Built-up,0.298,0.263,41.497,2024,2,0,-6.3339,106.8784
tangerang,solear,24.025,102.214,32.16,39.539,Tree cover,0.601,0.297,30.918,2020,8,0,-6.3069,106.4215
tangerang selatan,pamulang,18.203,44.892,37.87,59.039,Built-up,0.362,0.233,39.847,2023,12,0,-6.3395,106.7391
bekasi,tambunselatan,1.19,1.464,39.77,20.065,Built-up,0.311,0.152,17.106,2023,9,0,-6.2571,107.0543
bogor,leuwisadeng,37.373,88.377,28.59,306.672,Tree cover,0.725,4.096,35.554,2022,7,0,-6.5736,106.5877
tangerang,solear,48.776,103.685,32.02,39.539,Tree cover,0.581,0.297,35.199,2021,9,0,-6.3069,106.4215
jakarta selatan,jagakarsa,65.335,98.661,39.11,57.304,Built-up,0.268,0.27,40.561,2020,1,0,-6.334,106.8224
jakarta barat,kebonjeruk,14.29,40.033,34.59,10.059,Built-up,0.268,0.118,34.955,2024,7,0,-6.1895,106.7691
bekasi,tambunutara,43.233,64.372,28.65,8.214,Built-up,0.394,0.091,38.819,2024,2,0,-6.1927,107.0611
bekasi,cikarangpusat,19.481,65.855,36.49,34.68,Built-up,0.419,0.347,30.55,2021,9,0,-6.3596,107.1836
bekasi,babelan,33.49,50.882,33.78,3.768,Cropland,0.365,0.07,39.068,2020,3,0,-6.1257,107.0341
kota bekasi,bekasiselatan,13.276,30.565,36.67,22.99,Built-up,0.306,0.103,36.752,2020,7,0,-6.2582,106.9778
kota bekasi,bekasiutara,1.054,1.286,39.58,13.259,Built-up,0.275,0.12,21.771,2023,9,0,-6.2074,107.0064
tangerang selatan,setu,17.955,33.458,33.54,54.164,Tree cover,0.548,0.359,37.024,2021,8,0,-6.3637,107.0373
bekasi,cibitung,20.512,62.007,35.02,14.027,Cropland,0.493,0.106,36.639,2021,4,0,-6.2357,107.1004
bogor,jonggol,9.419,12.848,31.17,186.743,Tree cover,0.636,2.153,24.574,2023,8,0,-6.4961,107.0456
tangerang selatan,serpong,51.453,81.382,37.57,42.596,Built-up,0.25,0.214,40.48,2024,12,0,-6.3113,106.6807
kota tangerang,karawaci,42.42,77.946,39.15,16.788,Built-up,0.27,0.102,37.552,2022,2,0,-6.1812,106.618
jakarta selatan,kebayoranlama,39.07,55.485,38.76,25.395,Built-up,0.197,0.143,39.243,2024,12,0,-6.2495,106.7801
bekasi,cibarusah,49.473,66.776,30.57,52.034,Cropland,0.661,0.394,38.949,2024,2,0,-6.434,107.1108
jakarta utara,pademangan,12.484,35.346,33.14,3.198,Built-up,0.328,0.104,34.955,2024,7,0,-6.1301,106.8381
tangerang,kresek,21.753,41.436,30.84,11.706,Cropland,0.582,0.093,33.673,2021,8,0,-6.1444,106.4044
bogor,sukamakmur,41.614,104.901,28.03,641.209,Tree cover,0.779,5.807,37.348,2021,4,0,-6.5936,107.0201
bogor,cibungbulang,66.303,114.583,27.27,236.566,Tree cover,0.474,1.249,37.845,2024,12,0,-6.5761,106.661
kota tangerang,tangerang,57.833,123.114,38.47,17.193,Built-up,0.128,0.112,38.005,2023,2,0,-6.1888,106.6406
jakarta timur,ciracas,37.025,57.182,41.43,53.48,Built-up,0.376,0.263,41.6,2020,3,0,-6.3339,106.8784
jakarta pusat,joharbaru,7.993,25.758,36.85,8.969,Built-up,0.212,0.076,35.31,2023,7,0,-6.1821,106.8546
jakarta utara,penjaringan,18.887,35.587,34.24,3.083,Built-up,0.281,0.074,36.924,2021,5,0,-6.115,106.7639
kota bekasi,bekasiselatan,28.126,60.902,39.53,22.99,Built-up,0.247,0.103,40.556,2021,12,0,-6.2582,106.9778
tangerang,jayanti,63.954,82.969,33.48,18.626,Tree cover,0.573,0.144,39.184,2024,4,0,-6.2068,106.3983
bekasi,cibitung,22.271,45.968,36.63,14.027,Cropland,0.436,0.106,27.191,2020,9,0,-6.2357,107.1004
bekasi,cikarangselatan,12.708,45.422,34.15,41.443,Built-up,0.472,0.306,31.263,2023,7,0,-6.3385,107.1279
bekasi,cikarangutara,41.611,58.673,30.15,17.902,Built-up,0.317,0.13,38.937,2024,2,0,-6.2754,107.1556
tangerang,kemiri,29.434,67.771,30.57,5.064,Cropland,0.349,0.09,37.573,2020,11,0,-6.0878,106.4638
jakarta selatan,kebayoranbaru,12.813,26.382,36.57,22.272,Built-up,0.337,0.16,36.499,2021,8,0,-6.2447,106.8014
jakarta barat,cengkareng,9.53,21.376,34.0,5.286,Built-up,0.199,0.059,36.855,2024,5,0,-6.1515,106.7369
tangerang,gunungkaler,68.245,139.488,28.97,8.194,Cropland,0.265,0.068,37.613,2020,1,0,-6.0957,106.3742
jakarta timur,jatinegara,58.803,121.895,35.73,18.159,Built-up,0.127,0.126,38.069,2023,2,0,-6.2273,106.8774
bogor,tajurhalang,61.626,105.196,32.58,128.261,Tree cover,0.519,0.34,38.24,2022,8,0,-6.469,106.7596
tangerang,tigaraksa,56.491,137.567,35.28,29.506,Tree cover,0.578,0.225,36.02,2021,10,0,-6.2657,106.4673
tangerang,kresek,13.818,21.706,30.35,11.706,Cropland,0.486,0.093,35.44,2020,6,0,-6.1444,106.4044
kota bekasi,pondokmelati,16.974,46.185,35.04,38.409,Built-up,0.424,0.242,38.94,2022,7,0,-6.3095,106.9282
bekasi,tarumajaya,33.249,72.181,32.14,2.309,Cropland,0.248,0.051,37.881,2020,12,0,-6.1219,106.9975
jakarta pusat,cempakaputih,11.764,30.572,37.87,8.401,Built-up,0.244,0.095,35.176,2020,7,0,-6.1809,106.8681
tangerang,cikupa,38.961,58.501,35.48,25.2,Built-up,0.433,0.147,38.726,2020,3,0,-6.218,106.5159
kota bekasi,bekasiutara,26.143,38.235,40.03,13.259,Built-up,0.226,0.12,38.425,2021,3,0,-6.2074,107.0064
bogor,parung,54.705,98.775,32.27,104.116,Tree cover,0.626,0.338,41.398,2020,5,0,-6.4349,106.7128
jakarta utara,koja,29.643,63.6,38.88,3.739,Built-up,0.19,0.063,37.852,2020,5,0,-6.1215,106.905
bekasi,sukawangi,39.486,69.153,28.97,3.12,Cropland,0.305,0.044,38.207,2022,2,0,-6.1187,107.091
bekasi,babelan,35.305,69.175,36.55,3.768,Cropland,0.373,0.07,32.635,2023,11,0,-6.1257,107.0341
depok,cimanggis,13.492,32.747,34.91,74.634,Built-up,0.388,0.278,36.255,2024,8,0,-6.3677,106.8694
tangerang,mauk,35.881,55.791,29.52,3.228,Cropland,0.568,0.07,38.68,2020,3,0,-6.058,106.5207
depok,limo,13.831,46.972,34.02,73.923,Built-up,0.433,0.284,38.068,2023,7,0,-6.3686,106.7808
kota bekasi,jatiasih,1.512,1.927,39.54,39.466,Built-up,0.35,0.259,30.254,2023,9,0,-6.3072,106.9524
jakarta timur,cipayung,26.757,86.92,37.98,48.413,Built-up,0.451,0.257,38.923,2021,9,0,-6.3253,106.9036
depok,cipayung,21.258,62.613,34.34,106.638,Built-up,0.425,0.3,36.255,2024,8,0,-6.3253,106.9036
bekasi,muaragembong,31.031,73.35,26.77,1.597,Permanent water bodies,0.286,0.046,38.501,2022,12,0,-6.0033,107.0499
bogor,gunungsindur,47.253,77.686,32.57,72.997,Tree cover,0.661,0.372,41.32,2022,5,0,-6.3871,106.6872
tangerang,tigaraksa,37.987,84.604,33.35,29.506,Tree cover,0.543,0.225,38.817,2021,12,0,-6.2657,106.4673
depok,cipayung,24.27,55.431,38.32,106.638,Built-up,0.361,0.3,40.149,2023,12,0,-6.4297,106.8028
bogor,cigombong,63.836,132.476,25.9,688.475,Tree cover,0.491,4.624,38.916,2022,12,0,-6.7461,106.8128
bogor,bojonggede,28.806,53.307,34.28,133.589,Built-up,0.502,0.293,38.253,2021,7,0,-6.4774,106.7927
bekasi,babelan,23.622,38.249,31.17,3.768,Cropland,0.321,0.07,38.581,2021,3,0,-6.1257,107.0341
tangerang,mekarbaru,19.587,34.381,30.44,4.93,Cropland,0.585,0.066,33.673,2021,8,0,-6.062,106.3871
bogor,cijeruk,62.208,127.371,28.23,717.352,Tree cover,0.464,7.732,38.934,2022,12,0,-6.686,106.7843
jakarta pusat,tanahabang,69.553,115.431,39.51,12.45,Built-up,0.133,0.13,37.605,2020,1,0,-6.2054,106.8094
kota tangerang,larangan,35.759,69.649,29.32,21.351,Built-up,0.245,0.155,37.891,2023,3,0,-6.2392,106.733
tangerang,mekarbaru,30.342,70.594,32.36,4.93,Cropland,0.305,0.066,38.339,2022,12,0,-6.062,106.3871
jakarta selatan,kebayoranbaru,32.226,48.58,37.92,22.272,Built-up,0.353,0.16,38.777,2022,5,0,-6.2447,106.8014
bekasi,sukatani,64.012,100.93,34.29,9.292,Cropland,0.428,0.08,38.826,2021,11,0,-6.1918,107.1559
bekasi,tambelang,38.167,61.846,28.97,5.555,Cropland,0.358,0.072,38.207,2022,2,0,-6.167,107.1273
tangerang,kresek,31.608,72.51,29.8,11.706,Cropland,0.329,0.093,37.395,2020,12,0,-6.1444,106.4044
jakarta barat,palmerah,3.265,10.786,40.46,10.559,Built-up,0.211,0.122,33.061,2023,10,0,-6.1917,106.7956
Lebak,kalanganyar,31.759,69.648,31.1,40.914,Tree Cover,0.531,0.438,37.338,2023,1,1,-6.3853,106.2332
Aceh Besar,lhoong,76.106,249.267,28.31,350.874,Unknown,0.751,8.233,33.12,2021,3,1,5.2566,95.2879
Aceh Tenggara,tanohalas,41.859,65.687,22.53,1111.944,Tree Cover,0.713,8.503,38.879,2023,8,1,3.2368,97.6703
Pesisir Selatan,batangkapas,44.879,111.32,27.7,563.282,Unknown,0.795,7.294,32.118,2024,3,1,-1.3916,100.6664
Labuhanbatu Selatan,torgamba,69.009,97.885,29.1,63.869,Unknown,0.714,0.476,31.921,2023,11,1,1.7024,100.2468
Nagan Raya,seunagantimur,61.065,87.697,25.92,274.762,Unknown,0.68,3.021,31.646,2023,11,1,4.3398,96.3714
jakarta selatan,setiabudi,79.232,129.25,36.65,17.99,Built-up,0.177,0.133,38.721,2021,2,1,-6.2196,106.83
Muara Enim,gunungmegang,39.61,55.101,29.72,50.172,Unknown,0.502,0.342,37.56,2020,2,1,-3.5183,103.8991
Labuhanbatu Utara,kualuhhulu,67.446,104.185,26.36,73.473,Tree Cover,0.598,0.991,37.519,2024,11,1,2.5493,99.6392
Pandeglang,patia,145.638,375.78,31.84,14.19,Unknown,0.439,0.225,39.073,2021,11,1,-6.4796,105.8776
kota bogor,tanahsareal,46.691,84.075,36.58,184.459,Built-up,0.362,0.639,37.591,2023,1,1,-6.5468,106.7855
bekasi,sukatani,47.869,89.013,31.13,9.292,Cropland,0.338,0.08,38.402,2024,1,1,-6.1918,107.1559
Lebak,sajira,58.517,99.247,27.1,132.172,Tree Cover,0.575,1.334,38.796,2020,1,1,-6.475,106.3369
Labuhanbatu,pangkatan,54.238,93.861,29.96,11.686,Unknown,0.677,0.134,37.604,2024,10,1,2.1862,100.0169
Serang,cinangka,65.855,111.648,28.09,119.68,Unknown,0.643,2.324,36.678,2020,1,1,-6.18,105.8865
Cianjur,cianjur,47.644,112.753,28.53,490.817,Built-Up,0.525,2.128,37.86,2023,3,1,-6.8189,107.1307
Karawang,batujaya,37.609,103.46,30.81,2.773,Unknown,0.296,0.054,37.67,2023,1,1,-6.0511,107.1953
Pandeglang,labuan,96.181,203.43,30.07,17.762,Unknown,0.531,0.504,38.778,2021,12,1,-6.3706,105.8363
Bintan,bintanutara,73.447,180.433,29.4,21.246,Unknown,0.633,0.516,23.56,2023,1,1,1.0812,104.2555
Aceh Jaya,setiabakti,77.35,99.794,26.83,368.43,Unknown,0.609,3.806,38.064,2023,11,1,4.8045,95.6418
Aceh Utara,matangkuli,48.927,66.292,30.010000000000005,12.256,Unknown,0.156,0.091,33.835,2022,10,1,5.0298,97.275
Kampar,tapunghulu,72.133,124.126,28.09,46.756,Tree Cover,0.59,0.263,33.409,2024,1,1,0.7684,100.8201
jakarta timur,jatinegara,20.193,48.768,39.17,18.159,Built-up,0.28,0.126,37.312,2021,4,1,-6.2273,106.8774
bekasi,cikarangutara,77.271,127.3,30.61,17.902,Built-up,0.223,0.13,39.664,2021,2,1,-6.2754,107.1556
tangerang selatan,serpongutara,18.748,51.507,34.95,26.59,Built-up,0.435,0.18,36.818,2022,7,1,-6.2536,106.663
Asahan,tinggiraja,63.58,130.194,28.27,56.529,Tree Cover,0.782,0.382,33.091,2020,11,1,2.8324,99.54
jakarta barat,kalideres,68.471,118.009,39.42,5.258,Built-up,0.21,0.071,37.386,2020,1,1,-6.1346,106.7039
Aceh Utara,cotgirek,61.61,81.2,28.06,123.871,Unknown,0.373,1.745,39.289,2022,10,1,4.872,97.3409
Aceh Tenggara,babussalam,65.77,82.638,22.285,194.297,Tree Cover,0.47,2.987,38.588,2022,11,1,3.4886,97.8058
kota bogor,bogorbarat,134.315,355.32,36.62,207.937,Built-up,0.425,0.658,36.643,2022,9,1,-6.5732,106.7655
Lebong,binginkuning,60.79,90.825,27.44,463.029,Tree Cover,0.725,3.622,33.963,2024,4,1,-3.174,102.2842
Serang,padarincang,38.893,66.251,27.17,186.162,Tree Cover,0.551,2.897,37.97,2024,2,1,-6.2076,105.9684
Kota Medan,medansunggal,43.84,69.163,38.27,28.109,Built-Up,0.382,0.108,33.778,2024,8,1,3.5806,98.6271
Asahan,seidadap,61.177,133.788,30.78,21.325,Unknown,0.743,0.146,31.597,2021,8,1,2.9414,99.6463
Karawang,telukjambetimur,71.135,146.155,31.79,27.576,Unknown,0.375,0.335,42.334,2020,2,1,-6.3413,107.2894
Lima Puluh Kota,guguak,46.878,63.487,26.65,633.516,Unknown,0.791,3.196,33.052,2020,11,1,-0.1409,100.5267
Kampar,tambang,93.683,143.518,28.86,28.722,Tree Cover,0.59,0.215,38.434,2023,12,1,0.3727,101.308
Aceh Utara,matangkuli,21.978,42.172,33.62,12.256,Unknown,0.592,0.091,31.553,2021,4,1,5.0298,97.275
Serang,kopo,24.411,49.747,30.67,25.577,Tree Cover,0.614,0.195,37.076,2024,5,1,-6.2851,106.3766
Sarolangun,limun,36.059,51.408,28.01,235.31,Tree Cover,0.737,2.297,32.354,2024,9,1,-2.5693,102.5162
jakarta timur,cipayung,33.62,50.104,39.51,48.413,Built-up,0.326,0.257,39.122,2020,10,1,-6.3253,106.9036
Lebak,cimarga,44.581,75.558,25.82,79.069,Tree Cover,0.432,0.893,37.693,2020,12,1,-6.4532,106.222
Kampar,kamparkiri,60.628,102.729,29.0,96.188,Tree Cover,0.702,1.446,38.945,2024,11,1,-0.0083,101.1168
Aceh Jaya,teunom,104.965,240.282,28.28,185.542,Unknown,0.776,2.643,31.309,2021,3,1,4.5602,95.9162
Kota Serang,taktakan,29.549,79.804,29.64,99.867,Tree Cover,0.675,1.431,35.397,2021,9,1,-6.1311,106.1076
Mesuji,rawajituutara,39.695,70.8,29.07,5.481,Unknown,0.623,0.088,33.371,2022,6,1,-4.1424,105.6528
Bireuen,makmur,33.902,60.314,29.6,60.334,Tree Cover,0.596,0.618,41.27,2022,11,1,5.1425,96.8539
bogor,klapanunggal,49.001,96.027,32.16,203.856,Tree cover,0.686,3.061,40.209,2020,5,1,-6.483,106.9553
Cianjur,campaka,114.344,247.91,26.21,897.963,Tree Cover,0.748,4.18,31.584,2022,9,1,-7.0052,107.1122
Aceh Selatan,kluettengah,61.777,92.827,21.11,1206.326,Tree Cover,0.617,10.498,37.686,2023,11,1,3.4275,97.3563
Serang,padarincang,73.132,194.268,29.41,186.162,Tree Cover,0.734,2.897,36.279,2021,9,1,-6.2076,105.9684
jakarta timur,jatinegara,40.03,103.039,39.54,18.159,Built-up,0.183,0.126,37.33,2023,1,1,-6.2273,106.8774
bogor,ciseeng,75.577,126.089,27.06,99.044,Tree cover,0.528,0.396,41.504,2024,1,1,-6.4556,106.6785
bekasi,pebayuran,77.92,119.996,28.95,7.055,Cropland,0.136,0.061,39.609,2021,2,1,-6.1593,107.2485
kota bogor,bogortengah,100.499,179.609,37.86,250.378,Built-up,0.355,0.88,38.22,2022,10,1,-6.5932,106.7986
Aceh Jaya,setiabakti,86.482,143.735,26.79,368.43,Unknown,0.634,3.806,38.257,2022,10,1,4.8045,95.6418
Pringsewu,pringsewu,20.478,42.555,30.29,116.905,Tree Cover,0.609,0.547,36.573,2024,5,1,-5.3567,104.957
tangerang,kelapadua,60.938,110.692,27.07,27.206,Built-up,0.178,0.146,38.338,2020,1,1,-6.2426,106.6094
Nagan Raya,darulmakmur,64.036,118.196,28.37,134.831,Tree Cover,0.781,2.249,35.475,2022,11,1,3.9663,96.5488
bekasi,cibitung,34.269,72.795,34.66,14.027,Cropland,0.477,0.106,37.112,2020,5,1,-6.2357,107.1004
Aceh Utara,sawang,38.744,67.385,25.13,372.75,Unknown,0.601,3.034,41.272,2022,11,1,5.0476,96.8855
Solok Selatan,sangirjujuan,56.922,114.727,26.66,417.885,Tree Cover,0.545,3.12,38.943,2023,12,1,-1.4247,101.3147
kota tangerang,pinang,19.056,52.868,34.97,19.041,Built-up,0.423,0.132,35.44,2022,7,1,-6.2153,106.6662
